"x0, y0, z0","x1, y1, z1","x2, y2, z2","x3, y3, z3","x4, y4, z4","x5, y5, z5","x6, y6, z6","x7, y7, z7","x8, y8, z8","x9, y9, z9","x10, y10, z10","x11, y11, z11","x12, y12, z12","x13, y13, z13","x14, y14, z14","x15, y15, z15","x16, y16, z16","x17, y17, z17","x18, y18, z18","x19, y19, z19","x20, y20, z20"
"[0.768944501876831, 0.6318005919456482, 4.935840252073831e-07]","[0.698392927646637, 0.6258046627044678, -0.028955519199371338]","[0.6381281018257141, 0.5861201286315918, -0.04423565790057182]","[0.5884347558021545, 0.5529414415359497, -0.057443905621767044]","[0.544463038444519, 0.535546064376831, -0.07042175531387329]","[0.6682500839233398, 0.4395443797111511, -0.020587513223290443]","[0.6392686367034912, 0.35656869411468506, -0.0379314087331295]","[0.624965250492096, 0.30181974172592163, -0.05375416576862335]","[0.6161346435546875, 0.25536131858825684, -0.06585601717233658]","[0.7063751220703125, 0.41436249017715454, -0.021936733275651932]","[0.6848084926605225, 0.3178165555000305, -0.03438553214073181]","[0.6734739542007446, 0.2560836672782898, -0.047063302248716354]","[0.6663629412651062, 0.2040865421295166, -0.05721015855669975]","[0.7459992170333862, 0.41187265515327454, -0.027892017737030983]","[0.7350391149520874, 0.3182474970817566, -0.044111207127571106]","[0.7281630635261536, 0.2600042521953583, -0.05739092081785202]","[0.7217097878456116, 0.20941095054149628, -0.06762145459651947]","[0.78620845079422, 0.4277132749557495, -0.03675961494445801]","[0.8012876510620117, 0.36295491456985474, -0.05436231940984726]","[0.8104535937309265, 0.3187985420227051, -0.06360317021608353]","[0.8180206418037415, 0.2759961485862732, -0.06985823810100555]"
"[0.7672010064125061, 0.6351326704025269, 4.960034516443557e-07]","[0.6976963877677917, 0.6278589963912964, -0.029349245131015778]","[0.6387894749641418, 0.5870521068572998, -0.045513466000556946]","[0.5887327790260315, 0.5523385405540466, -0.05959338694810867]","[0.5440669059753418, 0.5355868339538574, -0.07352359592914581]","[0.6688969731330872, 0.4403740167617798, -0.022270752117037773]","[0.6407672166824341, 0.3564222753047943, -0.040489960461854935]","[0.626274049282074, 0.30125245451927185, -0.056850284337997437]","[0.61726313829422, 0.2545745372772217, -0.0693964958190918]","[0.7072771787643433, 0.41598206758499146, -0.023840390145778656]","[0.686393141746521, 0.31791144609451294, -0.03719577193260193]","[0.675325870513916, 0.255946546792984, -0.05036289989948273]","[0.6682018041610718, 0.20361864566802979, -0.06087468937039375]","[0.7472455501556396, 0.41418424248695374, -0.02992820553481579]","[0.7372564673423767, 0.3187187910079956, -0.04690751060843468]","[0.7307267189025879, 0.2586241364479065, -0.060524556785821915]","[0.7242743372917175, 0.20624500513076782, -0.07103968411684036]","[0.7876817584037781, 0.4310911297798157, -0.03888928145170212]","[0.8036632537841797, 0.3654829263687134, -0.05700429901480675]","[0.8129381537437439, 0.320253849029541, -0.06637975573539734]","[0.8203222751617432, 0.27644744515419006, -0.07278789579868317]"
"[0.7672748565673828, 0.6371576189994812, 4.954304699822387e-07]","[0.6961385011672974, 0.6310381889343262, -0.02984466962516308]","[0.6362980604171753, 0.5881588459014893, -0.04516473785042763]","[0.5863840579986572, 0.5523195266723633, -0.05839261785149574]","[0.5417929887771606, 0.536365270614624, -0.07142330706119537]","[0.6692408323287964, 0.44072407484054565, -0.019941238686442375]","[0.6408714056015015, 0.3566053807735443, -0.03714466094970703]","[0.6264829039573669, 0.3004094958305359, -0.05282517522573471]","[0.6183046102523804, 0.2536477744579315, -0.06473740190267563]","[0.7080514430999756, 0.41577640175819397, -0.02089356631040573]","[0.6874147653579712, 0.3171606659889221, -0.03221780061721802]","[0.6762831807136536, 0.25506043434143066, -0.04378301277756691]","[0.6698708534240723, 0.20318421721458435, -0.05306617543101311]","[0.7483885884284973, 0.4135791063308716, -0.026705486699938774]","[0.7394487261772156, 0.3163292407989502, -0.04178806394338608]","[0.7332327961921692, 0.2550385594367981, -0.05420275405049324]","[0.7276600003242493, 0.20201364159584045, -0.06399334967136383]","[0.7889377474784851, 0.43070822954177856, -0.03564250096678734]","[0.8057070374488831, 0.36601439118385315, -0.05256984010338783]","[0.8150185942649841, 0.32100749015808105, -0.061271294951438904]","[0.8227619528770447, 0.2774456739425659, -0.06712842732667923]"
"[0.7630937695503235, 0.6428032517433167, 5.109668563818559e-07]","[0.6918641924858093, 0.6375076174736023, -0.0323750339448452]","[0.6328410506248474, 0.5945628881454468, -0.04855699837207794]","[0.5840826630592346, 0.5569615364074707, -0.06222202256321907]","[0.5388085842132568, 0.5417107939720154, -0.07564222812652588]","[0.6672759652137756, 0.4448823928833008, -0.022970324382185936]","[0.6396806836128235, 0.35915184020996094, -0.04058323800563812]","[0.6250585913658142, 0.30227410793304443, -0.05629153549671173]","[0.6161447763442993, 0.254683256149292, -0.06825622916221619]","[0.7068042159080505, 0.42102670669555664, -0.02304025925695896]","[0.6874845027923584, 0.3213486671447754, -0.035287145525217056]","[0.6765485405921936, 0.25835689902305603, -0.047141946852207184]","[0.6701039671897888, 0.2066117823123932, -0.0565868578851223]","[0.7473275065422058, 0.41915804147720337, -0.028158802539110184]","[0.7398141622543335, 0.3235468566417694, -0.04453500360250473]","[0.7341508269309998, 0.262787789106369, -0.05718318745493889]","[0.7290754914283752, 0.21022368967533112, -0.06674336642026901]","[0.7877166867256165, 0.4355112910270691, -0.03664349019527435]","[0.8050858378410339, 0.36979448795318604, -0.05445459857583046]","[0.8157919049263, 0.3246588706970215, -0.06348254531621933]","[0.8250277638435364, 0.2812619209289551, -0.069377601146698]"
"[0.7632561922073364, 0.6518570780754089, 5.242562792773242e-07]","[0.6923046112060547, 0.6436129212379456, -0.03403620794415474]","[0.6342745423316956, 0.5994398593902588, -0.05323674902319908]","[0.5854393243789673, 0.5594085454940796, -0.06949887424707413]","[0.5384511947631836, 0.5406458377838135, -0.08589156717061996]","[0.6698311567306519, 0.4515738785266876, -0.031155424192547798]","[0.6425455212593079, 0.3639494776725769, -0.05233234167098999]","[0.62901371717453, 0.3059796094894409, -0.07019667327404022]","[0.6216099262237549, 0.2575995624065399, -0.08358635008335114]","[0.7100610733032227, 0.4285167455673218, -0.03193012997508049]","[0.6918348670005798, 0.325361967086792, -0.04881636053323746]","[0.6818752288818359, 0.2605541944503784, -0.0642848014831543]","[0.6765778660774231, 0.2066788673400879, -0.0761716291308403]","[0.751107394695282, 0.428277850151062, -0.037250883877277374]","[0.7446680665016174, 0.3253675103187561, -0.05813371390104294]","[0.7394830584526062, 0.2613546848297119, -0.07462427020072937]","[0.7349590063095093, 0.205939382314682, -0.08673688769340515]","[0.792319655418396, 0.4477851092815399, -0.04546385258436203]","[0.8122774362564087, 0.3795984387397766, -0.06720190495252609]","[0.8246116638183594, 0.3331436514854431, -0.07871108502149582]","[0.8347364068031311, 0.28891631960868835, -0.08626846969127655]"
"[0.7628276944160461, 0.6556974053382874, 5.583179358836787e-07]","[0.6924363970756531, 0.6472771167755127, -0.03549307584762573]","[0.6349341869354248, 0.6042401790618896, -0.05501563474535942]","[0.5849016308784485, 0.566909670829773, -0.07147007435560226]","[0.5371859073638916, 0.5496215224266052, -0.087961845099926]","[0.6713054180145264, 0.4537147283554077, -0.030632957816123962]","[0.6447082757949829, 0.36492905020713806, -0.05067937821149826]","[0.6319702863693237, 0.3060368001461029, -0.0678878054022789]","[0.625058114528656, 0.25643545389175415, -0.08097989112138748]","[0.7119311094284058, 0.43055206537246704, -0.03056929260492325]","[0.6957290768623352, 0.32673949003219604, -0.04624190554022789]","[0.6867122650146484, 0.26130422949790955, -0.06104439124464989]","[0.682042121887207, 0.20668089389801025, -0.07272958010435104]","[0.7529149055480957, 0.430388480424881, -0.035313498228788376]","[0.7483866810798645, 0.32900816202163696, -0.0549139603972435]","[0.7434834241867065, 0.26468390226364136, -0.07098685204982758]","[0.7392469644546509, 0.208499014377594, -0.08313468843698502]","[0.793116569519043, 0.44961488246917725, -0.0432809554040432]","[0.8147937059402466, 0.382522851228714, -0.06387263536453247]","[0.8281073570251465, 0.33568841218948364, -0.07526790350675583]","[0.8392248749732971, 0.2905366122722626, -0.08306647092103958]"
"[0.7548382878303528, 0.6646278500556946, 5.230628516983415e-07]","[0.6990459561347961, 0.6491859555244446, -0.03396989777684212]","[0.6565507650375366, 0.6102662086486816, -0.05513176694512367]","[0.6383029222488403, 0.5706973671913147, -0.07310677319765091]","[0.6195448637008667, 0.5376189351081848, -0.09063418954610825]","[0.6615501642227173, 0.4565715789794922, -0.03203525394201279]","[0.6408324241638184, 0.37132108211517334, -0.054860252887010574]","[0.6311565637588501, 0.3164975345134735, -0.0752996876835823]","[0.6267387270927429, 0.26827967166900635, -0.09057252109050751]","[0.7011077404022217, 0.4334222078323364, -0.03431733325123787]","[0.6899433135986328, 0.32964998483657837, -0.05147707462310791]","[0.6846088767051697, 0.2645663022994995, -0.06959211081266403]","[0.6819667220115662, 0.20807868242263794, -0.08431504666805267]","[0.7389020323753357, 0.4369473457336426, -0.04116332530975342]","[0.7409173250198364, 0.3374193608760834, -0.0591270811855793]","[0.7413777112960815, 0.2739076614379883, -0.07518318295478821]","[0.7412262558937073, 0.21828076243400574, -0.08835279941558838]","[0.7764158844947815, 0.46156853437423706, -0.05132776126265526]","[0.7887857556343079, 0.39349135756492615, -0.06832696497440338]","[0.795595645904541, 0.3478925824165344, -0.07669850438833237]","[0.7994095087051392, 0.30424436926841736, -0.0835098996758461]"
"[0.7411394119262695, 0.621610164642334, 6.041620963515015e-07]","[0.694758415222168, 0.6242879629135132, -0.04300170764327049]","[0.6623436808586121, 0.5959178805351257, -0.06895497441291809]","[0.6536439061164856, 0.5568520426750183, -0.08825965225696564]","[0.6425755023956299, 0.5160270929336548, -0.10670772194862366]","[0.6562550067901611, 0.4611475467681885, -0.0504055991768837]","[0.6376480460166931, 0.3878916800022125, -0.0759819969534874]","[0.6291357278823853, 0.3379685878753662, -0.0969245508313179]","[0.6235604882240295, 0.2933749258518219, -0.11204222589731216]","[0.6933278441429138, 0.4385741353034973, -0.04642535373568535]","[0.6810883283615112, 0.34765952825546265, -0.06865666806697845]","[0.6735968589782715, 0.2829825282096863, -0.0889405608177185]","[0.6666342616081238, 0.22718629240989685, -0.10388950258493423]","[0.7291350364685059, 0.4424000084400177, -0.046233344823122025]","[0.7286708354949951, 0.3523426055908203, -0.06895414739847183]","[0.7270539999008179, 0.2954710125923157, -0.08697973936796188]","[0.7252331972122192, 0.2463679015636444, -0.09942761808633804]","[0.7653023600578308, 0.46313610672950745, -0.04911087453365326]","[0.7723337411880493, 0.3976835608482361, -0.07095897942781448]","[0.7738611698150635, 0.3547540307044983, -0.08221672475337982]","[0.7726484537124634, 0.3139401078224182, -0.08940906822681427]"
"[0.7532985806465149, 0.6647576093673706, 4.2814781409106217e-07]","[0.7007449865341187, 0.6465811729431152, -0.027940601110458374]","[0.6623085737228394, 0.6038834452629089, -0.045271746814250946]","[0.649969756603241, 0.5547900795936584, -0.06087688356637955]","[0.6423426866531372, 0.5080249905586243, -0.0757020115852356]","[0.6566864252090454, 0.4632657766342163, -0.019273530691862106]","[0.6371367573738098, 0.3854057192802429, -0.04024367034435272]","[0.629521906375885, 0.33643585443496704, -0.06059471517801285]","[0.626914381980896, 0.29072514176368713, -0.07588441669940948]","[0.6942373514175415, 0.4386160969734192, -0.022787030786275864]","[0.6788491010665894, 0.34014302492141724, -0.037904005497694016]","[0.6714608669281006, 0.27799731492996216, -0.05620550364255905]","[0.6679264307022095, 0.22132211923599243, -0.0712825283408165]","[0.7310736775398254, 0.44073182344436646, -0.03063906729221344]","[0.7281113862991333, 0.34978947043418884, -0.046184200793504715]","[0.7266327738761902, 0.29305994510650635, -0.06008485332131386]","[0.7248099446296692, 0.24357864260673523, -0.07179050147533417]","[0.7685986161231995, 0.4633477032184601, -0.04160980507731438]","[0.7749325633049011, 0.39997944235801697, -0.055333979427814484]","[0.7757940292358398, 0.3568178415298462, -0.06147472932934761]","[0.7744314670562744, 0.31535249948501587, -0.06690151989459991]"
"[0.7545222043991089, 0.6743665933609009, 2.3901333179310313e-07]","[0.6996666789054871, 0.6391130685806274, -0.018632858991622925]","[0.6657989621162415, 0.5883695483207703, -0.02815897949039936]","[0.6547489166259766, 0.5283846259117126, -0.038871560245752335]","[0.6522277593612671, 0.4721851348876953, -0.0478171743452549]","[0.6585429906845093, 0.4722495973110199, 0.016088133677840233]","[0.6379314661026001, 0.4123682379722595, 0.005337483715265989]","[0.6305325031280518, 0.3767307996749878, -0.01190868392586708]","[0.6278843283653259, 0.33890706300735474, -0.02658902108669281]","[0.6916362047195435, 0.4482300877571106, 0.010710922069847584]","[0.6727403998374939, 0.36878541111946106, 0.005157535430043936]","[0.664787769317627, 0.3204321265220642, -0.00976776983588934]","[0.6595683693885803, 0.27523478865623474, -0.02380119450390339]","[0.7230130434036255, 0.44678154587745667, -0.00047863327199593186]","[0.7180860638618469, 0.37329766154289246, -0.007993402890861034]","[0.7141149044036865, 0.32686692476272583, -0.0168162789195776]","[0.709967315196991, 0.2856031060218811, -0.02619323879480362]","[0.7594547271728516, 0.4623621106147766, -0.01516536995768547]","[0.7557619214057922, 0.40504395961761475, -0.02137887291610241]","[0.7493364214897156, 0.3684047758579254, -0.023651445284485817]","[0.7405509948730469, 0.33230894804000854, -0.027599994093179703]"
"[0.7606280446052551, 0.6780632734298706, -2.1568305896835227e-07]","[0.6975098252296448, 0.6306638717651367, -0.007711528800427914]","[0.664989709854126, 0.5633147954940796, -0.01037541776895523]","[0.6563219428062439, 0.49088069796562195, -0.01629980094730854]","[0.6495263576507568, 0.435140997171402, -0.01846804842352867]","[0.6615413427352905, 0.48725172877311707, 0.033235177397727966]","[0.6425082683563232, 0.4143633246421814, 0.01819983497262001]","[0.6428118944168091, 0.42328327894210815, -0.0006440625875256956]","[0.6471028923988342, 0.44805672764778137, -0.011008752509951591]","[0.6949687600135803, 0.4733232855796814, 0.030054768547415733]","[0.679154098033905, 0.4047527313232422, 0.020804256200790405]","[0.6760578751564026, 0.4128643870353699, 0.0057411496527493]","[0.672821581363678, 0.4304143786430359, -0.0033175547141581774]","[0.72735595703125, 0.47182053327560425, 0.021640611812472343]","[0.7150329351425171, 0.40724384784698486, 0.01659262925386429]","[0.7073833346366882, 0.40378934144973755, 0.015841886401176453]","[0.7025212645530701, 0.41356801986694336, 0.015414981171488762]","[0.7644596695899963, 0.48083412647247314, 0.010755052790045738]","[0.753288984298706, 0.4325476884841919, 0.012434753589332104]","[0.7437630891799927, 0.4173368811607361, 0.01820370741188526]","[0.7345708012580872, 0.4089750051498413, 0.022401176393032074]"
"[0.7572992444038391, 0.6623183488845825, -1.6840684224916913e-07]","[0.6983686685562134, 0.6237136125564575, -0.009591401554644108]","[0.6681868433952332, 0.5585861206054688, -0.012864388525485992]","[0.6577054262161255, 0.49326634407043457, -0.019299732521176338]","[0.6466788053512573, 0.4404650926589966, -0.022619808092713356]","[0.6617411375045776, 0.484639048576355, 0.03011222928762436]","[0.6409983038902283, 0.4146217107772827, 0.011359850876033306]","[0.638006329536438, 0.4116663932800293, -0.01057859230786562]","[0.641420841217041, 0.43446844816207886, -0.022348133847117424]","[0.695412278175354, 0.4713582992553711, 0.026671333238482475]","[0.680793821811676, 0.406240314245224, 0.012172061949968338]","[0.6764098405838013, 0.41142725944519043, -0.00852274987846613]","[0.6707978844642639, 0.4299905002117157, -0.020860791206359863]","[0.727809727191925, 0.46731317043304443, 0.017887352034449577]","[0.7177184224128723, 0.4051896631717682, 0.006766681559383869]","[0.7085357308387756, 0.4015035033226013, -0.001354452222585678]","[0.7023103833198547, 0.41490042209625244, -0.0055313436314463615]","[0.764943540096283, 0.4711754322052002, 0.00697291549295187]","[0.753679096698761, 0.4198806583881378, 0.003145504742860794]","[0.7418317198753357, 0.4065183699131012, 0.003505825763568282]","[0.7301643490791321, 0.4037120044231415, 0.004485628567636013]"
"[0.7360910177230835, 0.6442516446113586, 5.023178459850897e-07]","[0.6719207167625427, 0.6220220327377319, -0.0259972233325243]","[0.6229201555252075, 0.5559614300727844, -0.03589684143662453]","[0.5915506482124329, 0.49603942036628723, -0.043852996081113815]","[0.5659741163253784, 0.44550466537475586, -0.05109425634145737]","[0.6588832139968872, 0.4558289051055908, -0.01065702736377716]","[0.6368438005447388, 0.3889751136302948, -0.027489401400089264]","[0.6278468370437622, 0.34436723589897156, -0.04312404245138168]","[0.6254775524139404, 0.30453550815582275, -0.05438432842493057]","[0.6974628567695618, 0.4329192638397217, -0.011669688858091831]","[0.6844801306724548, 0.34763580560684204, -0.02523983269929886]","[0.6786456108093262, 0.28947213292121887, -0.039361272007226944]","[0.6766274571418762, 0.24006599187850952, -0.049614954739809036]","[0.7354956269264221, 0.4311804175376892, -0.017763342708349228]","[0.732035756111145, 0.33864495158195496, -0.037708260118961334]","[0.7304015755653381, 0.2783252000808716, -0.052379123866558075]","[0.7289088368415833, 0.2268369197845459, -0.061506759375333786]","[0.7745842337608337, 0.4479483366012573, -0.02587003819644451]","[0.7902949452400208, 0.3729260265827179, -0.0463382713496685]","[0.7992672920227051, 0.32166314125061035, -0.056429293006658554]","[0.8040158748626709, 0.27508965134620667, -0.062244076281785965]"
"[0.7363049387931824, 0.6448522210121155, 4.5019422145742283e-07]","[0.6687322854995728, 0.6272056102752686, -0.029243135824799538]","[0.6198182106018066, 0.5631517171859741, -0.04185636714100838]","[0.5879510641098022, 0.5020721554756165, -0.05166267976164818]","[0.5578087568283081, 0.4559594988822937, -0.060979824513196945]","[0.657403290271759, 0.4506882429122925, -0.01846221648156643]","[0.6357342600822449, 0.37249094247817993, -0.03644798323512077]","[0.6238386631011963, 0.32251834869384766, -0.052861783653497696]","[0.6175620555877686, 0.2786453366279602, -0.0653889998793602]","[0.6977605223655701, 0.42841941118240356, -0.019733887165784836]","[0.6865571141242981, 0.3293725252151489, -0.03476840257644653]","[0.6809853911399841, 0.26389533281326294, -0.050613801926374435]","[0.678942859172821, 0.2098044753074646, -0.06258243322372437]","[0.7376493811607361, 0.43032240867614746, -0.02555299922823906]","[0.7357537150382996, 0.33033984899520874, -0.0450780875980854]","[0.7354117035865784, 0.264350950717926, -0.06145407259464264]","[0.7354341149330139, 0.20649075508117676, -0.07298517227172852]","[0.7773237824440002, 0.45108306407928467, -0.033665627241134644]","[0.7933607697486877, 0.377664178609848, -0.05398491397500038]","[0.8030166625976562, 0.3268181085586548, -0.06471771746873856]","[0.81025230884552, 0.2785685062408447, -0.07163258641958237]"
"[0.7394728064537048, 0.6420387029647827, 5.039095185566111e-07]","[0.6711859703063965, 0.6313889622688293, -0.03478911146521568]","[0.619194746017456, 0.5717945694923401, -0.05209438130259514]","[0.5822980403900146, 0.5138823986053467, -0.06573961675167084]","[0.5437906384468079, 0.4762948155403137, -0.07956607639789581]","[0.6584453582763672, 0.44401270151138306, -0.03195421025156975]","[0.6352318525314331, 0.3576977849006653, -0.05361504107713699]","[0.6229893565177917, 0.302057147026062, -0.0720086395740509]","[0.6162864565849304, 0.25321337580680847, -0.08597973734140396]","[0.699759304523468, 0.42241615056991577, -0.032502055168151855]","[0.688444197177887, 0.31616508960723877, -0.05063529312610626]","[0.682155966758728, 0.24731683731079102, -0.06750011444091797]","[0.6795737743377686, 0.19011011719703674, -0.08057189732789993]","[0.7399210929870605, 0.4262853264808655, -0.03747670724987984]","[0.7383875250816345, 0.32318341732025146, -0.05924418196082115]","[0.7363440990447998, 0.2568439245223999, -0.07599133253097534]","[0.7348819971084595, 0.19805589318275452, -0.08837927132844925]","[0.7788860201835632, 0.4491249620914459, -0.045252591371536255]","[0.7961709499359131, 0.3772951662540436, -0.06756793707609177]","[0.8068305253982544, 0.32887858152389526, -0.07883790880441666]","[0.8154324889183044, 0.2817752957344055, -0.08653436601161957]"
"[0.7392513155937195, 0.6335183382034302, 6.325141157503822e-07]","[0.6681880354881287, 0.6243689060211182, -0.0404057539999485]","[0.6118574738502502, 0.5790432691574097, -0.06282968074083328]","[0.5617892742156982, 0.5427436828613281, -0.08096765726804733]","[0.51435387134552, 0.5251256823539734, -0.09995365142822266]","[0.6556805372238159, 0.4337921738624573, -0.04040026292204857]","[0.6332153081893921, 0.34410712122917175, -0.06203269585967064]","[0.62154221534729, 0.28666234016418457, -0.08084360510110855]","[0.614572286605835, 0.2360290288925171, -0.09571361541748047]","[0.6985320448875427, 0.4145578145980835, -0.03996282443404198]","[0.6884145736694336, 0.3064582347869873, -0.05866987258195877]","[0.6829705238342285, 0.23652638494968414, -0.076273113489151]","[0.6809878349304199, 0.17811444401741028, -0.09073953330516815]","[0.7387538552284241, 0.4193740487098694, -0.04448032006621361]","[0.7419843673706055, 0.3141709864139557, -0.06702014058828354]","[0.7424739599227905, 0.24651838839054108, -0.08595594763755798]","[0.7423619031906128, 0.18473467230796814, -0.1006377637386322]","[0.7764136791229248, 0.44097545742988586, -0.052351582795381546]","[0.796165406703949, 0.36606788635253906, -0.07537189871072769]","[0.8071650266647339, 0.317205011844635, -0.0883587971329689]","[0.8148822784423828, 0.26706331968307495, -0.09825777262449265]"
"[0.7380620837211609, 0.6398391723632812, 5.586919655797828e-07]","[0.6697382926940918, 0.623848557472229, -0.03196470066905022]","[0.6104007363319397, 0.5809715986251831, -0.05144071578979492]","[0.5584530830383301, 0.5523461103439331, -0.06845012307167053]","[0.5107300877571106, 0.5377782583236694, -0.08606302738189697]","[0.6547288298606873, 0.43317583203315735, -0.030005522072315216]","[0.6309378743171692, 0.34438982605934143, -0.05053031072020531]","[0.6210273504257202, 0.2871808409690857, -0.06830806285142899]","[0.6169307827949524, 0.23745204508304596, -0.0818859115242958]","[0.6971070766448975, 0.4113336205482483, -0.03202600032091141]","[0.686604380607605, 0.30581799149513245, -0.04745645448565483]","[0.6835395693778992, 0.23784954845905304, -0.06305838376283646]","[0.6852838397026062, 0.18004104495048523, -0.07598701864480972]","[0.7379655241966248, 0.4143986105918884, -0.03842363879084587]","[0.7395914196968079, 0.31393951177597046, -0.056858763098716736]","[0.7419885993003845, 0.25024688243865967, -0.07228046655654907]","[0.7448461055755615, 0.19388845562934875, -0.08446580916643143]","[0.776657223701477, 0.4373086988925934, -0.04773489013314247]","[0.7964702844619751, 0.37162652611732483, -0.0656837671995163]","[0.8098270893096924, 0.32650142908096313, -0.07448031008243561]","[0.820969820022583, 0.2833288908004761, -0.08114761859178543]"
"[0.737267792224884, 0.6399219036102295, 5.173103545530466e-07]","[0.6693117022514343, 0.6226531267166138, -0.031085187569260597]","[0.6096838116645813, 0.5785504579544067, -0.04922368749976158]","[0.5578890442848206, 0.5481144785881042, -0.06512537598609924]","[0.5113100409507751, 0.5275846719741821, -0.0809541791677475]","[0.6552959680557251, 0.42888256907463074, -0.02238905243575573]","[0.6337730288505554, 0.34368032217025757, -0.039657216519117355]","[0.6256389617919922, 0.2897093594074249, -0.05566990002989769]","[0.6231452822685242, 0.2433016151189804, -0.06824805587530136]","[0.696728527545929, 0.40801292657852173, -0.023987790569663048]","[0.6863773465156555, 0.3056548833847046, -0.036357779055833817]","[0.6837950348854065, 0.24020960927009583, -0.049956586211919785]","[0.6864237189292908, 0.18562418222427368, -0.06155118718743324]","[0.7370986938476562, 0.41215279698371887, -0.03044951893389225]","[0.7386161088943481, 0.31603068113327026, -0.046770595014095306]","[0.7415884137153625, 0.2568334937095642, -0.06054734066128731]","[0.7454697489738464, 0.20410555601119995, -0.07168547809123993]","[0.7756211161613464, 0.43571537733078003, -0.040016576647758484]","[0.7942414283752441, 0.3745822310447693, -0.05704175680875778]","[0.8079301118850708, 0.33336442708969116, -0.06547551602125168]","[0.8201523423194885, 0.29341012239456177, -0.0718437135219574]"
"[0.7340188026428223, 0.6396452188491821, 3.995662609668216e-07]","[0.6684374809265137, 0.6205484867095947, -0.02637888491153717]","[0.6148620247840881, 0.579395592212677, -0.0391911081969738]","[0.5736123323440552, 0.5498928427696228, -0.051057394593954086]","[0.549323320388794, 0.5171903371810913, -0.062279634177684784]","[0.6606647372245789, 0.4280492961406708, -0.008341886103153229]","[0.6414783596992493, 0.3566548526287079, -0.022108886390924454]","[0.6350913047790527, 0.31386634707450867, -0.03748578578233719]","[0.6332004070281982, 0.27790024876594543, -0.04916495829820633]","[0.7006470561027527, 0.40623006224632263, -0.010140204802155495]","[0.694331705570221, 0.3117029666900635, -0.01658276468515396]","[0.6951484680175781, 0.251798152923584, -0.027392476797103882]","[0.7004870176315308, 0.20315292477607727, -0.03708440810441971]","[0.7395616173744202, 0.4105088710784912, -0.01743709295988083]","[0.7418973445892334, 0.3243168592453003, -0.02788659557700157]","[0.7459487318992615, 0.27012789249420166, -0.03945714980363846]","[0.750813364982605, 0.2224072515964508, -0.04913803189992905]","[0.776742160320282, 0.4350167214870453, -0.028068579733371735]","[0.7948864698410034, 0.37652620673179626, -0.03967553377151489]","[0.8071012496948242, 0.34027084708213806, -0.04551505297422409]","[0.8189073204994202, 0.30631381273269653, -0.05002940073609352]"
"[0.7228639721870422, 0.6390312910079956, 3.80239242758762e-07]","[0.6674503684043884, 0.6142770051956177, -0.029100388288497925]","[0.621624767780304, 0.5595492124557495, -0.046211592853069305]","[0.5965731739997864, 0.49903467297554016, -0.06266499310731888]","[0.6203620433807373, 0.48941507935523987, -0.07667282223701477]","[0.6598061323165894, 0.41609489917755127, -0.0029991301707923412]","[0.6483386158943176, 0.3475174009799957, -0.021413177251815796]","[0.6472862362861633, 0.3229776620864868, -0.03883620724081993]","[0.6520786285400391, 0.31425464153289795, -0.05017424747347832]","[0.7027168869972229, 0.40300002694129944, -0.0027977332938462496]","[0.699652910232544, 0.3180818557739258, -0.013231427408754826]","[0.7052305936813354, 0.2727712094783783, -0.023198239505290985]","[0.7138645052909851, 0.23866590857505798, -0.03003659099340439]","[0.7430310249328613, 0.41345617175102234, -0.00920054316520691]","[0.753908097743988, 0.3407684564590454, -0.02309710904955864]","[0.7616926431655884, 0.29594868421554565, -0.030988607555627823]","[0.7703993916511536, 0.26139628887176514, -0.03513278439640999]","[0.7816866636276245, 0.4423905313014984, -0.019413404166698456]","[0.803685188293457, 0.3883242607116699, -0.03060910664498806]","[0.8203016519546509, 0.354509562253952, -0.034425050020217896]","[0.8363860845565796, 0.3217460513114929, -0.03604449704289436]"
"[0.7255881428718567, 0.6393022537231445, 4.382179668027675e-07]","[0.6670168042182922, 0.6164130568504333, -0.023740220814943314]","[0.6167793869972229, 0.5664966702461243, -0.03834563121199608]","[0.5791788697242737, 0.5279884338378906, -0.052606746554374695]","[0.5675315856933594, 0.514530599117279, -0.06574952602386475]","[0.6632785797119141, 0.4205767810344696, -0.009621737524867058]","[0.6516183614730835, 0.3455142378807068, -0.02745320275425911]","[0.6473270058631897, 0.31449586153030396, -0.043725013732910156]","[0.6470243334770203, 0.30329257249832153, -0.05416131019592285]","[0.7076711654663086, 0.4067353308200836, -0.013199280947446823]","[0.7049094438552856, 0.315650075674057, -0.02362595684826374]","[0.7080873250961304, 0.25801998376846313, -0.03601731359958649]","[0.7135235667228699, 0.21519507467746735, -0.04584144428372383]","[0.7487130761146545, 0.4189804196357727, -0.02218625508248806]","[0.7639957070350647, 0.34334707260131836, -0.038009364157915115]","[0.7762519121170044, 0.2937800884246826, -0.05307379364967346]","[0.7860156893730164, 0.25218069553375244, -0.06335882842540741]","[0.7859925627708435, 0.4505172371864319, -0.03359951451420784]","[0.8171537518501282, 0.395519495010376, -0.049582671374082565]","[0.8390845656394958, 0.36065348982810974, -0.05894886329770088]","[0.8580866456031799, 0.326246976852417, -0.0649484172463417]"
